section,subsection,problem_id,fracas_answer,fracas_nonstandard,multiple_p,p,h,a,include,comment,inference_possible,minimal_layers
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,307,yes,,0,In 1994 ITEL sent a progress report every month.,ITEL sent a progress report in July 1994.,Yes,,,1,"temp, quant, num, def, frequency"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,308,undef,TRUE,0,Smith wrote to a representative every week.,There is a representative that Smith wrote to every week.,Yes on one scoping; unknown on another scoping,,,,
7 TEMPORAL REFERENCE,7.3 Anaphoric Dimension,309,undef,TRUE,1,Smith left the house at a quarter past five. She took a taxi to the station and caught the first train to Luxembourg.,,,,,,
7 TEMPORAL REFERENCE,7.3 Anaphoric Dimension,310,undef,TRUE,1,Smith lost some files. They were destroyed when her hard disk crashed.,,,,,,
7 TEMPORAL REFERENCE,7.3 Anaphoric Dimension,311,yes,,1,Smith had left the house at a quarter past five. Then she took a taxi to the station.,Smith left the house before she took a taxi to the station.,Yes,,,,
7 TEMPORAL REFERENCE,7.4 Adverbs of Quantification,312,yes,,1,ITEL always delivers reports late. In 1993 ITEL delivered reports.,ITEL delivered reports late in 1993.,Yes,,,,
7 TEMPORAL REFERENCE,7.4 Adverbs of Quantification,313,no,,1,ITEL never delivers reports late. In 1993 ITEL delivered reports.,ITEL delivered reports late in 1993.,No,,,,
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,314,yes,,1,"Smith arrived in Paris on the 5th of May, 1995. Today is the 15th of May, 1995. She is still in Paris.","Smith was in Paris on the 7th of May, 1995.",Yes,,,,
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,315,yes,,0,When Smith arrived in Katmandu she had been travelling for three days.,Smith had been travelling the day before she arrived in Katmandu.,Yes,,complex temporal reasoning,2,"temp, quant, num, def, duration, BEFORE"
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,316,yes,,1,Jones graduated in March and has been employed ever since. Jones has been unemployed in the past.,Jones was unemployed at some time before he graduated.,Yes,,,,
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,317,yes,,1,Every representative has read this report. No two representatives have read it at the same time. No representative took less than half a day to read the report. There are sixteen representatives.,It took the representatives more than a week to read the report.,Yes,,,,
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,318,no,,1,"While Jones was updating the program, Mary came in and told him about the board meeting. She finished before he did.",Mary's story lasted as long as Jones's updating the program.,No,,,,
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,319,yes,,1,"Before APCOM bought its present office building, it had been paying mortgage interest on the previous one for 8 years. Since APCOM bought its present office building it has been paying mortgage interest on it for more than 10 years.",APCOM has been paying mortgage interest for a total of 15 years or more.,Yes,,,,
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,320,yes,,0,"When Jones got his job at the CIA, he knew that he would never be allowed to write his memoirs.",It is the case that Jones is not and will never be allowed to write his memoirs.,Yes,,complex temporal reasoning,2,"temp, quant, num, def, modal"
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,321,yes,,1,Smith has been to Florence twice in the past. Smith will go to Florence twice in the coming year.,Two years from now Smith will have been to Florence at least four times.,Yes,,,,
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,322,yes,,0,"Last week I already knew that when, in a month's time, Smith would discover that she had been duped she would be furious.",It will be the case that in a few weeks Smith will discover that she has been duped; and she will be furious.,Yes,,complex temporal reasoning,2,"temp, quant, num, def, modal, manner, RESULT"
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,323,yes,,1,No one gambling seriously stops until he is broke. No one can gamble when he is broke.,Everyone who starts gambling seriously stops the moment he is broke.,Yes,,,,
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,324,yes,,0,No one who starts gambling seriously stops until he is broke.,Everyone who starts gambling seriously continues until he is broke.,Yes,,lexical,2,"temp, quant, num, def, modal, BEFORE"
7 TEMPORAL REFERENCE,7.5 Some more Complex Examples,325,yes,,1,Nobody who is asleep ever knows that he is asleep. But some people know that they have been asleep after they have been asleep.,Some people discover that they have been asleep.,Yes,,,,
8 VERBS,8.1 Aspectual Classes,326,yes,,0,ITEL built MTALK in 1993.,ITEL finished MTALK in 1993.,Yes,,lexical,2,"temp, quant, num, def"
8 VERBS,8.1 Aspectual Classes,327,unknown,,0,ITEL was building MTALK in 1993.,ITEL finished MTALK in 1993.,Don't know,,,,
8 VERBS,8.1 Aspectual Classes,328,yes,,0,ITEL won the contract from APCOM in 1993.,ITEL won a contract in 1993.,Yes,,,1,"temp, quant, num, def"
8 VERBS,8.1 Aspectual Classes,329,unknown,,0,ITEL was winning the contract from APCOM in 1993.,ITEL won a contract in 1993.,Don't know,,,,
8 VERBS,8.1 Aspectual Classes,330,yes,,0,ITEL owned APCOM from 1988 to 1992.,ITEL owned APCOM in 1990.,Yes,,temporal knowledge,2,"temp, quant, num, def, duration"
8 VERBS,8.2 Distributive and Collective Predication,331,yes,,0,Smith and Jones left the meeting.,Smith left the meeting.,Yes,,,1,"temp, quant, num, def, distributivity"
8 VERBS,8.2 Distributive and Collective Predication,332,yes,,0,Smith and Jones left the meeting.,Jones left the meeting.,Yes,,,1,"temp, quant, num, def, distributivity"
8 VERBS,8.2 Distributive and Collective Predication,333,yes,,0,"Smith, Anderson and Jones met.",There was a group of people that met.,Yes,,lexical,2,"temp, quant, num, def, distributivity"
9 ATTITUDES,"9.1 Epistemic, Intentional and Reportive Attitudes",334,yes,,0,Smith knew that ITEL had won the contract in 1992.,ITEL won the contract in 1992.,Yes,,intensional,2,"temp, quant, num, def"
9 ATTITUDES,"9.1 Epistemic, Intentional and Reportive Attitudes",335,unknown,,0,Smith believed that ITEL had won the contract in 1992.,ITEL won the contract in 1992.,Don't know,,,,
9 ATTITUDES,"9.1 Epistemic, Intentional and Reportive Attitudes",336,yes,,0,ITEL managed to win the contract in 1992.,ITEL won the contract in 1992.,Yes,,intensional,2,"temp, quant, num, def"
9 ATTITUDES,"9.1 Epistemic, Intentional and Reportive Attitudes",337,unknown,,0,ITEL tried to win the contract in 1992.,ITEL won the contract in 1992.,Don't know,,,,
9 ATTITUDES,"9.1 Epistemic, Intentional and Reportive Attitudes",338,yes,,0,It is true that ITEL won the contract in 1992.,ITEL won the contract in 1992.,Yes,,,1,"temp, quant, num, def"
9 ATTITUDES,"9.1 Epistemic, Intentional and Reportive Attitudes",339,no,,0,It is false that ITEL won the contract in 1992.,ITEL won the contract in 1992.,No,,,1,"temp, quant, num, def"
9 ATTITUDES,"9.2 Preceptive Attitudes: ""See"" with Bare Infinitive Complements",340,unknown,,1,"Smith saw Jones sign the contract. If Jones signed the contract, his heart was beating.",Smith saw Jones' heart beat.,Don't know,,,,
9 ATTITUDES,"9.2 Preceptive Attitudes: ""See"" with Bare Infinitive Complements",341,unknown,,1,"Smith saw Jones sign the contract. When Jones signed the contract, his heart was beating.",Smith saw Jones' heart beat.,Don't know,,,,
9 ATTITUDES,"9.2 Preceptive Attitudes: ""See"" with Bare Infinitive Complements",342,yes,,0,Smith saw Jones sign the contract.,Jones signed the contract.,Yes,,intensional,2,"temp, quant, num, def"
9 ATTITUDES,"9.2 Preceptive Attitudes: ""See"" with Bare Infinitive Complements",343,yes,,1,Smith saw Jones sign the contract. Jones is the chairman of ITEL.,Smith saw the chairman of ITEL sign the contract.,Yes,,,,
9 ATTITUDES,"9.2 Preceptive Attitudes: ""See"" with Bare Infinitive Complements",344,yes,,1,Helen saw the chairman of the department answer the phone. The chairman of the department is a person.,There is someone whom Helen saw answer the phone.,Yes,,,,
9 ATTITUDES,"9.2 Preceptive Attitudes: ""See"" with Bare Infinitive Complements",345,yes,,0,Smith saw Jones sign the contract and his secretary make a copy.,Smith saw Jones sign the contract.,Yes,,,1,"temp, quant, num, def"
9 ATTITUDES,"9.2 Preceptive Attitudes: ""See"" with Bare Infinitive Complements",346,yes,,0,Smith saw Jones sign the contract or cross out the crucial clause.,Smith either saw Jones sign the contract or saw Jones cross out the crucial clause.,Yes,,,1,"temp, quant, num, def"
